date|account|category|amount|currency|converted amount|currency|description||||
6/6/2018|Cash|Eating out|-12.2|MYR|-12.2|MYR|Lunch (curry laksa) |||Dinner (spades) |2
6/6/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Tealive|||Dinner (spaghetti) |1
6/6/2018|Cash|Clothes|-725|MYR|-725|MYR|Specs (second half) |||Dinner (steamboat) |1
7/6/2018|Cash|Eating out|-12.9|MYR|-12.9|MYR|Lunch (ninjajoe) |||Dinner (sukiya) |1
7/6/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak|||Dinner (sushi mentai) |2
8/6/2018|Cash|Eating out|-2.7|MYR|-2.7|MYR|Dinner chago|||Dinner (sushi tei)|1
8/6/2018|Cash|Salary|240|MYR|240|MYR|Tuition (shuhui) |||Dinner (sweet Inn) |1
8/6/2018|Cash|Salary|70|MYR|70|MYR|Tuition (xin fei) |||Dinner (Table & Apron) |1
8/6/2018|Cash|Deposits|6.5|MYR|6.5|MYR|Tuition (books) |||Dinner (tea Garden) |1
8/6/2018|Cash|Allowance|-5|MYR|-5|MYR|Cm owe|||Dinner (texas) |1
8/6/2018|Cash|Music|-22.4|MYR|-22.4|MYR|Spotify |||Dinner (Thai bbq) |1
11/6/2018|Cash|Eating out|-23|MYR|-23|MYR|Lunch (wong kok) |||Dinner (Thai in mookata) |1
11/6/2018|Cash|Car|-62|MYR|-62|MYR|Petrol|||Dinner (Thai) |1
12/6/2018|Cash|Eating out|-8.4|MYR|-8.4|MYR|Lunch (wantan mee) |||Dinner (the brew house) |1
12/6/2018|Cash|Eating out|-6.8|MYR|-6.8|MYR|Dinner mamak|||Dinner (the teh tarik place) |1
13/06/2018|Cash|Eating out|-10.7|MYR|-10.7|MYR|Lunch (mamak) |||Dinner (The times) |1
14/06/2018|Cash|Communications|-30|MYR|-30|MYR|Reload |||Dinner (toast & roast) |1
14/06/2018|Cash|Eating out|-6|MYR|-6|MYR|Lunch (zap fan) |||Dinner (twiggies) |4
15/06/2018|Cash|Eating out|-15|MYR|-15|MYR|Supper (mamak + mcd) |||Dinner (uncle Don) |1
16/06/2018|Cash|Car|-10|MYR|-10|MYR|Parking|||Dinner (Union roastery) |1
18/06/2018|Cash|Eating out|-10|MYR|-10|MYR|Lunch (zap fan)|||Dinner (uspizza) |1
18/06/2018|Cash|Eating out|-5.4|MYR|-5.4|MYR|Dinner mamak|||Dinner (vegetarian) |1
19/06/2018|Cash|Eating out|-11.3|MYR|-11.3|MYR|Lunch (fish head noodles) |||Dinner (western) |3
19/06/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak|||Dinner (yakiniku) |1
20/06/2018|Cash|Eating out|-10.1|MYR|-10.1|MYR|Dinner mamak|||Dinner (zen) |1
20/06/2018|Cash|Eating out|-14.2|MYR|-14.2|MYR|Lunch (kd) |||Dinner chago|2
20/06/2018|Cash|Car|-68.15|MYR|-68.15|MYR|Petrol |||Dinner chicken rice |3
21/06/2018|Cash|Eating out|-5.5|MYR|-5.5|MYR|Lunch (zap fan)|||Dinner Chinese mamak |5
21/06/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak|||Dinner kbbq|1
22/06/2018|Cash|Eating out|-3.5|MYR|-3.5|MYR|Dinner Chinese mamak |||Dinner kkmart|1
22/06/2018|Cash|Movie|-31|MYR|-31|MYR|Movie (incredibles) |||Dinner korean bbq with seraya |1
25/06/2018|Cash|Eating out|-10.5|MYR|-10.5|MYR|Lunch (rib King) |||Dinner mamak|74
25/06/2018|Cash|Eating out|-7.1|MYR|-7.1|MYR|Dinner mamak|||Dinner mamak |260
25/06/2018|Cash|Games|-31.84|MYR|-31.84|MYR|Steam (NBA) |||Dinner mamak zapfan|13
26/06/2018|Cash|Eating out|-12|MYR|-12|MYR|Lunch (korean) |||Dinner mcd|17
26/06/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner mamak|||Dinner oregi|1
27/06/2018|Cash|Eating out|-12.9|MYR|-12.9|MYR|Lunch (ninjajoe) |||Dinner panmee|7
27/06/2018|Cash|Eating out|-2.7|MYR|-2.7|MYR|Snack (croissant) |||Dinner panmee |12
28/06/2018|Cash|Eating out|-11.9|MYR|-11.9|MYR|Lunch (subway) |||Dinner phostreet|1
28/06/2018|Cash|Eating out|-68|MYR|-68|MYR|Dinner (seafood buffet with bball ppl) |||Dinner porridge |1
29/06/2018|Cash|Car|-52.83|MYR|-52.83|MYR|Petrol |||Dinner starling |2
